CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
460;25030;430;11980;1130;3120;;;;;;;
680;25650;500;6610;1090;2900;;;;;;;
1060;25220;780;5700;1020;2840;;;;;;;
1350;25060;1580;7870;1100;2660;;;;;;;
780;25430;150;8700;890;2750;;;;;;;
660;25230;180;6150;920;2690;;;;;;;
540;27250;750;6530;970;2980;;;;;;;
600;25680;120;13300;970;2900;;;;;;;
420;25010;450;11320;990;3130;;;;;;;
260;25340;1500;24320;1040;2780;;;;;;;
290;25030;1550;8800;980;2830;;;;;;;
510;24910;1790;6340;1060;2730;;;;;;;
140;25250;1310;6740;1060;2990;;;;;;;
1000;25100;250;7220;1060;2960;;;;;;;
970;25240;750;8100;880;3020;;;;;;;
730;25040;1280;17530;900;2670;;;;;;;
500;25260;1580;6400;940;2880;;;;;;;
630;25330;1740;8720;1010;3030;;;;;;;
710;24960;1790;7030;1060;2680;;;;;;;
460;25240;1080;10360;1040;2690;;;;;;;
950;25160;490;23560;1070;3560;;;;;;;
620;25220;1030;35510;1010;3000;;;;;;;
440;25530;970;16540;1070;2780;;;;;;;
760;25370;460;8000;1060;2940;;;;;;;
920;24950;360;6740;1270;2700;;;;;;;
590;25110;780;10010;1070;2690;;;;;;;
560;25320;90;9070;1050;3060;;;;;;;
860;24970;400;6260;900;3250;;;;;;;
590;25520;90;6060;1090;2960;;;;;;;
1100;25150;470;5900;920;13580;;;;;;;
1550;27980;570;6030;1010;14730;;;;;;;
3130;25160;760;6150;880;5960;;;;;;;
1440;26160;590;22060;990;4580;;;;;;;
990;25550;590;25000;890;3290;;;;;;;
620;25370;530;36920;910;3890;;;;;;;
800;25260;590;11430;1050;3980;;;;;;;
620;25420;300;7070;1060;2880;;;;;;;
1210;25050;690;7390;1080;2610;;;;;;;
1030;25410;3680;7910;1030;2640;;;;;;;
580;25040;980;6990;1070;3200;;;;;;;
540;25370;2450;11110;950;3090;;;;;;;
1480;25400;340;11820;990;2890;;;;;;;
520;25380;370;8220;1280;3000;;;;;;;
350;25650;2520;15240;970;3030;;;;;;;
750;25760;150;13020;1020;3180;;;;;;;
810;27020;2530;19010;1010;4070;;;;;;;
560;25610;40;11850;1040;16520;;;;;;;
790;25190;990;12330;1060;5420;;;;;;;
990;25250;430;12790;1050;3440;;;;;;;
1310;24840;120;9590;1020;3560;;;;;;;
550;25490;490;11800;1270;2840;;;;;;;
810;25270;170;11660;1000;2970;;;;;;;
650;24930;520;13500;1010;2710;;;;;;;
710;24990;530;10590;1170;2940;;;;;;;
460;24790;120;4770;1080;4630;;;;;;;
460;25100;920;12550;1090;3160;;;;;;;
460;24980;1070;12000;910;3640;;;;;;;
820;24890;590;13630;1040;2940;;;;;;;
650;25030;790;12260;1090;2500;;;;;;;
990;25090;480;5890;1070;3050;;;;;;;
920;25130;470;10850;1060;3770;;;;;;;
890;25020;1240;15020;1020;2790;;;;;;;
1010;25320;440;11430;930;3250;;;;;;;
620;25150;740;12400;950;3270;;;;;;;
520;25030;3630;5010;1040;3550;;;;;;;
590;25420;1270;8050;1030;3150;;;;;;;
490;25210;1430;10590;1000;2900;;;;;;;
530;25580;70;16960;990;2940;;;;;;;
430;25600;1830;9470;940;2600;;;;;;;
660;25160;250;7160;970;2480;;;;;;;
340;25590;570;16660;920;2730;;;;;;;
450;25040;600;14750;940;3020;;;;;;;
550;25370;1230;8550;1000;2870;;;;;;;
520;25500;1320;9430;1010;2880;;;;;;;
690;26450;280;13010;980;3060;;;;;;;
590;25730;420;5470;940;2650;;;;;;;
1200;27670;1230;8370;1000;3170;;;;;;;
1730;25260;720;6820;1000;2910;;;;;;;
1200;26210;400;22010;1060;3090;;;;;;;
1980;25470;1080;8450;1050;3070;;;;;;;
900;25200;120;12620;1270;3060;;;;;;;
930;25350;680;6460;1760;3020;;;;;;;
740;25380;560;5960;1880;2580;;;;;;;
340;27730;990;5280;1510;2930;;;;;;;
2690;25110;1080;7080;1020;2830;;;;;;;
400;25380;1120;34330;1060;2430;;;;;;;
1130;25450;180;8260;1060;2420;;;;;;;
960;25660;580;7130;1120;2980;;;;;;;
1560;25690;660;18190;1020;3180;;;;;;;
730;25290;540;5750;1260;2680;;;;;;;
560;25050;150;9740;1060;2290;;;;;;;
560;25820;570;7030;1030;2480;;;;;;;
920;25150;780;10740;1630;2380;;;;;;;
580;24890;200;5520;1030;2410;;;;;;;
760;25090;210;7360;1030;2810;;;;;;;
720;25070;420;9910;880;3220;;;;;;;
550;25180;180;19150;1020;3280;;;;;;;
660;25600;180;13130;940;2660;;;;;;;
700;25190;270;13990;960;2860;;;;;;;
670;25020;340;10740;930;2680;;;;;;;
670;25130;650;12980;1000;3120;;;;;;;
1800;25750;150;11050;940;3010;;;;;;;
890;25490;1080;12520;1090;2630;;;;;;;
500;25310;1690;14370;940;2800;;;;;;;
550;25570;440;10330;940;2430;;;;;;;
320;25700;680;11310;1010;2460;;;;;;;
390;25190;370;16410;1030;2660;;;;;;;
650;25360;870;17130;1020;2810;;;;;;;
530;25400;570;15810;1070;3090;;;;;;;
1270;25360;200;9750;1060;2840;;;;;;;
480;25100;70;6680;1060;2730;;;;;;;
590;25290;310;6650;1100;2800;;;;;;;
620;25320;390;4920;1080;2640;;;;;;;
470;25060;80;7620;1050;3200;;;;;;;
1300;25410;750;5750;1030;2780;;;;;;;
1160;25100;140;7760;1020;2700;;;;;;;
1630;25560;300;10510;1030;2970;;;;;;;
1440;25140;360;9820;1270;2760;;;;;;;
920;25510;350;12750;1030;2820;;;;;;;
460;25140;480;11680;1000;3060;;;;;;;
670;25870;100;12450;940;2750;;;;;;;
490;25900;360;6380;950;3000;;;;;;;
1000;29720;160;5970;1070;3070;;;;;;;
960;25050;450;6960;1010;3020;;;;;;;
710;26130;780;8380;1080;3000;;;;;;;
560;25310;120;8900;880;2810;;;;;;;
720;24620;230;5640;990;2870;;;;;;;
590;25530;310;9720;1070;2720;;;;;;;
490;25130;370;10860;1050;2700;;;;;;;
490;25050;190;4860;1240;3120;;;;;;;
430;25550;380;7120;930;3350;;;;;;;
870;25470;810;13690;950;2910;;;;;;;
810;25400;650;16630;960;3070;;;;;;;
710;25020;320;8620;1100;2740;;;;;;;
910;25260;150;11360;1070;2880;;;;;;;
800;25090;750;13480;1050;2800;;;;;;;
870;25200;510;5920;1310;2850;;;;;;;
940;25990;250;6660;1100;2970;;;;;;;
760;25240;150;4110;1140;2490;;;;;;;
510;25590;800;12190;920;2960;;;;;;;
1210;25480;120;8550;910;2860;;;;;;;
660;25460;560;13770;960;3020;;;;;;;
690;25220;950;12010;1050;2760;;;;;;;
1020;25230;470;13840;1030;3060;;;;;;;
880;25340;790;16990;1220;3060;;;;;;;
1610;25420;280;14310;1060;2730;;;;;;;
1390;25730;430;8490;1030;2700;;;;;;;
260;25350;1070;7880;1050;3220;;;;;;;
500;25590;1120;7610;1030;2800;;;;;;;
1630;25290;980;10020;1070;2810;;;;;;;
610;25440;650;10510;1020;2930;;;;;;;
820;25270;950;8050;1060;2710;;;;;;;
750;25620;480;20010;1070;2800;;;;;;;
600;25550;240;16520;1030;2980;;;;;;;
810;25290;470;10970;1270;2780;;;;;;;
490;25230;1090;13960;1060;3140;;;;;;;
720;25410;650;11630;1030;2980;;;;;;;
780;25390;420;11960;1040;2790;;;;;;;
550;25190;630;13600;1050;3010;;;;;;;
670;25430;360;11400;1060;2650;;;;;;;
360;28390;300;12050;1020;2980;;;;;;;
510;25300;130;4960;1050;3050;;;;;;;
930;25420;610;5090;1050;3430;;;;;;;
910;25390;320;6800;1050;2670;;;;;;;
670;25130;150;7090;1060;2890;;;;;;;
760;25190;890;13040;1090;2840;;;;;;;
790;26260;300;7670;1090;2380;;;;;;;
800;27270;230;6850;1060;3010;;;;;;;
630;25940;810;5360;1050;2830;;;;;;;
630;25430;530;10480;1080;3010;;;;;;;
440;26290;520;30730;1020;2950;;;;;;;
830;24950;370;13670;1010;3060;;;;;;;
480;25040;100;7560;1030;2530;;;;;;;
1210;25400;90;5550;1020;2940;;;;;;;
860;25090;140;5900;1030;2900;;;;;;;
700;25180;780;5270;1030;2710;;;;;;;
620;25320;140;4460;1240;3050;;;;;;;
700;25270;510;9440;1060;3000;;;;;;;
1660;25330;820;12170;1030;3170;;;;;;;
1760;25150;80;11570;960;3020;;;;;;;
23070;25110;110;3490;960;2770;;;;;;;
12370;25520;440;4970;940;2730;;;;;;;
490;25170;390;4830;1000;2430;;;;;;;
25670;25420;460;5390;1050;2790;;;;;;;
810;25720;1410;10260;1050;3110;;;;;;;
2460;25300;390;7880;1070;3190;;;;;;;
390;25370;510;5890;1050;2960;;;;;;;
940;25280;280;11820;1050;3080;;;;;;;
620;25950;60;35790;1030;2790;;;;;;;
590;25500;370;8000;1040;2720;;;;;;;
1050;25410;260;13180;1050;2850;;;;;;;
740;25480;70;14030;1100;4210;;;;;;;
1080;25040;70;16700;1060;3230;;;;;;;
1550;25420;410;20810;1150;3450;;;;;;;
12660;25520;830;6020;890;3600;;;;;;;
1610;25380;500;10840;1010;2470;;;;;;;
1940;25630;1470;5860;1160;2820;;;;;;;
1650;25310;180;5310;1040;3200;;;;;;;
1360;25810;460;3980;1010;2810;;;;;;;
1740;27060;2040;5940;1100;3070;;;;;;;
560;25440;360;5240;1050;2620;;;;;;;
780;25040;110;9040;1060;2950;;;;;;;
720;25250;270;12410;1130;3070;;;;;;;
580;25060;1500;12290;1230;3040;;;;;;;
580;25630;240;8800;1010;2900;;;;;;;
310;25070;280;4210;950;2880;;;;;;;
1210;25440;960;4770;910;2890;;;;;;;
490;25640;110;7400;1020;2700;;;;;;;
580;25210;180;6100;1040;2790;;;;;;;
870;25230;300;11080;1050;3270;;;;;;;
880;24980;120;11100;1100;2780;;;;;;;
410;25490;180;8990;1020;2710;;;;;;;
210;25530;190;5260;1070;2980;;;;;;;
720;27700;260;8520;1080;2940;;;;;;;
6500;25120;120;10920;1030;2720;;;;;;;
250;26400;260;4660;1030;2540;;;;;;;
600;25490;510;7160;1010;2920;;;;;;;
390;25040;110;10440;1040;2880;;;;;;;
800;25450;270;5780;960;2720;;;;;;;
320;25720;430;14620;910;3100;;;;;;;
750;25190;440;12410;900;2540;;;;;;;
290;25140;440;13670;1010;3480;;;;;;;
1190;25480;500;13290;870;2760;;;;;;;
620;25550;490;12200;1060;2970;;;;;;;
600;25280;430;4550;970;2750;;;;;;;
1120;25340;3670;5280;950;2950;;;;;;;
810;25390;250;8670;990;3040;;;;;;;
620;25480;140;4560;990;3240;;;;;;;
6850;26040;100;7390;1100;2870;;;;;;;
360;25250;400;6380;1040;2880;;;;;;;
1480;25490;490;7930;1010;3140;;;;;;;
1400;25270;250;6250;1010;3030;;;;;;;
350;25670;190;6790;1050;3220;;;;;;;
1040;25250;670;11810;1090;3120;;;;;;;
250;25240;140;10430;990;2890;;;;;;;
780;25610;150;6330;1100;2850;;;;;;;
390;25660;100;6900;1060;2510;;;;;;;
580;27150;340;11090;1060;2640;;;;;;;
880;25420;460;7920;1050;3000;;;;;;;
770;25260;540;10160;1030;3190;;;;;;;
740;25290;420;13490;1060;2830;;;;;;;
530;25320;520;10930;1160;2990;;;;;;;
490;25610;670;27120;1030;2400;;;;;;;
830;25170;560;7900;1020;2820;;;;;;;
1010;25120;550;5960;1050;2880;;;;;;;
1180;25120;580;3900;1040;3180;;;;;;;
3780;25450;70;4540;940;2820;;;;;;;
1230;25300;370;4240;1060;2700;;;;;;;
