CouchBase,Memcached,Mongo,Orient,Redis,Riak
600,24680,830,9630,1050,3070,
520,24890,410,9200,1050,3140,
240,24410,1440,9190,950,3580,
770,26200,810,9060,950,2700,
600,24640,360,8430,940,3140,
750,24790,700,8250,950,3000,
550,26610,900,8930,1050,2740,
770,25640,910,8600,1050,2860,
120,25290,730,8150,1020,2770,
880,24810,540,9070,1090,2960,
840,24490,440,8740,1040,2820,
610,24990,960,8340,1080,2530,
360,24380,1080,9540,1050,2860,
360,25040,1890,8760,1050,3040,
770,24940,1150,8280,1050,2880,
850,24800,480,9010,1010,2780,
440,24840,400,8390,1040,2890,
590,25090,1490,10420,1040,2850,
510,24720,1810,8350,1060,3080,
270,24740,540,6450,1050,3090,
390,24650,1020,2710,1030,2760,
1110,24870,810,5590,1050,2280,
620,24950,620,11190,1040,2200,
410,24780,1140,7640,1050,2220,
690,24590,1140,4730,1040,2290,
570,24810,560,4640,1080,2660,
840,25000,2200,9160,1030,2270,
630,24860,420,8330,1040,2700,
520,24600,820,8350,1000,2780,
880,24740,880,8300,1020,2850,
410,24810,1220,8260,1000,2680,
470,24680,1310,8610,1050,2880,
540,25390,600,8430,980,2790,
640,25140,810,8600,990,2710,
570,24890,230,9980,940,2940,
420,25080,800,9220,1070,2830,
450,24780,180,9390,1020,2580,
500,24760,930,8540,1160,2370,
350,24720,2210,8660,1490,2900,
650,25120,320,8840,1220,2540,
310,24760,200,8660,980,2690,
380,24720,1030,8440,1270,3010,
1790,26230,430,11950,830,2770,
430,24950,780,8740,900,3230,
610,24770,540,8300,870,2700,
120,24870,2230,9650,1060,2850,
630,24920,950,3190,930,2630,
50,24910,1040,3380,1020,3190,
480,24760,3720,8860,1020,2450,
120,25160,210,8940,1060,2510,
1020,24720,640,11090,1030,2770,
70,24870,470,8460,1050,2750,
1840,25570,2950,8680,1030,2750,
900,26160,780,3070,1090,3290,
700,25510,1000,6570,1030,3040,
890,25370,350,2870,1020,2910,
410,25110,1600,2970,1030,2550,
1190,25070,510,8890,930,2780,
700,24630,790,8150,900,2730,
1090,24910,910,8670,940,2740,
470,25170,470,8750,900,2750,
230,25000,630,8610,1200,2700,
620,25150,820,6650,1050,2830,
610,25000,190,2560,960,2840,
460,24900,860,2870,1060,2630,
410,24820,430,2870,1040,2370,
760,25180,1280,2580,1050,2860,
660,24740,2670,2610,980,2650,
650,24680,2940,5790,980,2710,
450,24900,6390,11500,1030,2800,
890,24710,1800,9640,1040,2840,
640,25560,2280,7010,1050,2580,
510,25370,1060,2760,1050,2510,
400,25620,1360,2990,1060,2590,
1000,24800,1670,4110,950,2810,
640,24900,570,2310,920,2910,
290,24680,1840,2880,1030,3280,
310,24890,470,3210,1050,2920,
390,24830,1100,3000,1060,2780,
350,25110,390,3300,1000,2730,
730,25000,550,5670,1030,2720,
730,24900,910,9300,880,2650,
800,26380,910,8430,960,2930,
720,24870,620,8750,1070,2930,
500,26170,420,8450,1020,3370,
730,24740,320,8760,1030,2790,
200,25260,190,8540,1050,3010,
510,25210,390,9210,1070,2930,
490,24680,290,16710,1050,2870,
370,24920,630,12720,1070,2670,
370,24950,650,8510,1090,2690,
740,24920,100,8900,1030,3070,
860,24610,1640,11090,1020,3030,
770,24810,200,6510,1060,2860,
820,24980,910,8460,1030,3210,
460,24810,460,8390,1030,2710,
480,24790,590,8350,1040,2880,
600,24860,1770,8380,1020,3110,
670,24750,1010,8360,1030,3000,
710,26670,760,5340,1040,2670,
780,25580,360,2440,1180,2750,
420,24840,910,3970,1090,2780,
590,25370,1150,8450,1020,2680,
490,24850,630,5480,1060,2770,
800,24810,1540,8860,1040,2770,
620,25440,800,10810,1030,3190,
570,24870,1330,9470,1060,2960,
440,24910,980,11910,940,2770,
60,24810,790,9190,890,2680,
430,24920,790,8940,980,2830,
330,24850,270,13490,1030,2670,
240,24600,170,5350,1030,2950,
250,24730,600,4670,1020,2920,
770,24800,630,4220,1020,2660,
770,24780,1190,7880,1060,2830,
520,24960,410,10520,1030,2770,
670,24420,190,9610,1020,3580,
710,24580,130,9920,1030,3120,
670,24270,470,8350,1060,3100,
450,24460,910,8500,1040,2750,
1150,24230,690,8660,1030,2910,
1440,26430,1650,8530,960,2820,
1220,24840,830,9100,950,3010,
1840,24980,730,8840,970,3130,
18200,24830,680,14260,970,2850,
7140,24720,1060,6410,940,3050,
430,25100,590,3240,970,2770,
150,25020,350,3330,880,2920,
690,24740,1910,4450,1070,2620,
1750,25300,1040,6330,1130,2820,
900,24680,950,2650,950,2700,
580,24860,550,2660,920,2710,
1480,24710,1200,3890,1000,2890,
620,25040,680,4890,970,2950,
510,24870,600,2460,920,2960,
870,24620,170,2770,940,3060,
260,24810,1040,9000,910,3170,
1030,24740,260,9930,970,2960,
620,24760,670,8420,1080,2990,
810,24410,610,8740,870,2570,
400,24730,1340,8990,980,2560,
150,24710,1290,6530,930,2820,
510,24640,1100,2870,900,2780,
810,24860,2520,2980,910,2890,
810,25170,3370,4070,980,2380,
460,25140,840,3470,1020,2650,
970,26550,1280,3310,980,2720,
890,25590,2500,2780,910,2790,
940,24720,910,3630,980,2850,
860,25080,190,2570,970,2720,
500,25270,1480,3220,950,2770,
650,24770,1110,5100,980,2720,
500,25070,870,6550,1020,2670,
1250,25150,490,16950,1090,2790,
730,25460,1560,5870,920,3010,
640,25090,630,5390,980,2760,
560,24890,4530,5060,1020,2640,
580,24890,5040,3430,1020,2700,
740,25070,1630,5570,1020,2700,
400,24730,650,4340,1020,2770,
240,26120,1340,2590,1360,2980,
1100,24650,420,2720,970,2510,
550,24530,1100,2810,950,2880,
780,24440,1250,3170,950,2850,
360,24680,1340,3420,950,2810,
440,24630,380,9760,960,2700,
190,24640,170,3430,940,2790,
200,25530,260,6130,930,2780,
460,24760,190,3770,1030,2640,
780,24530,500,5790,1070,2750,
1270,24980,1230,8960,1160,2700,
540,25040,1110,8530,990,2670,
460,24750,1040,9030,1020,2840,
630,25130,670,9220,1040,3310,
320,24960,1340,9900,1310,3260,
740,24690,2600,4960,960,3140,
240,25000,240,2990,950,2870,
700,24670,920,7740,930,2900,
660,24920,810,10940,960,2970,
230,25420,1020,9450,1030,2730,
1090,24920,390,8940,1090,2780,
100,24900,620,5420,1040,3060,
370,24870,1140,9230,1130,2670,
460,24690,1310,11830,1050,2710,
340,24770,2260,8630,1020,2820,
600,24770,730,9930,1050,2940,
380,28580,830,7870,1010,2650,
600,46340,1070,2750,1010,2750,
580,56400,830,2910,1090,3040,
680,24930,780,9460,1000,2610,
650,28250,520,9230,1020,2920,
200,26070,780,9220,1030,3160,
390,24970,1400,8910,1100,2990,
630,25220,270,11050,950,2820,
180,25630,1750,9850,1010,2500,
680,27870,1410,3260,1070,3130,
140,24880,930,3020,1020,2750,
680,27040,700,2680,1030,2960,
350,25000,600,8430,1050,2890,
220,24890,970,3270,1010,2860,
470,24790,150,7020,970,2470,
670,24810,690,6420,1050,2440,
380,24910,1660,4150,1110,2590,
960,24870,410,2950,1030,2920,
500,24860,1500,4310,1050,2580,
300,24960,490,3920,1020,2890,
390,25780,1000,8390,1030,2630,
510,25010,1550,2490,1040,2790,
190,24850,640,7190,980,2710,
280,25510,610,5440,980,2810,
400,25030,1830,9030,1020,2920,
710,25460,210,8850,1180,2940,
460,25490,490,2880,1010,2760,
540,26250,1230,6670,1060,2810,
530,25120,1110,5090,960,2800,
380,25810,160,8580,910,2610,
570,25050,170,8780,940,2900,
450,24850,160,9790,930,2670,
450,25680,1190,6030,920,2430,
330,24700,710,4430,930,2630,
430,25110,170,8940,910,2890,
140,24850,1750,7520,950,3000,
320,25530,720,5890,940,3100,
380,25130,1880,4620,930,2850,
390,24900,800,9480,1060,2990,
330,24690,1350,3330,920,3220,
850,24890,2070,3110,940,3040,
450,25070,4630,8400,990,3170,
70,24900,800,8550,940,2960,
450,24920,2120,9010,930,2720,
490,25120,3750,9320,950,2790,
560,24990,1340,8840,910,2840,
320,24910,880,8760,960,2810,
470,25800,1350,8280,1050,3020,
610,25000,1290,9270,1050,2940,
330,25160,880,9600,1060,2740,
340,28440,1750,5430,1010,2860,
380,25760,910,3690,1040,2690,
260,24880,1250,3490,1020,2880,
380,25480,1620,4840,1090,2670,
540,25590,1170,3320,1120,3020,
670,24680,1520,6530,910,3100,
390,24290,1030,8260,930,2660,
100,24680,2160,9860,860,2680,
310,24920,240,8320,940,2430,
860,24600,1080,4400,990,3100,
550,25460,1570,3340,1030,3190,
640,24890,440,4000,920,3040,
200,24920,2480,5890,940,2610,
210,24590,940,7550,960,2850,
1100,24800,1120,7780,930,2660,
540,24720,2090,10730,960,3560,
210,24720,480,5510,960,2940,
600,24890,2960,2620,1010,2810,
720,25030,720,7810,1130,2680,
770,24860,790,8830,1030,2820,
420,24910,1210,10890,1080,2700,
330,24870,730,10210,1010,2660,
490,24740,180,9850,1050,2440,
830,24870,2290,8940,1070,2770,
430,24430,1620,9120,1030,2800,
630,24690,790,8510,1070,2860,
440,24800,390,8730,1080,2610,
250,24910,1860,7090,1020,2830,
100,25050,1950,3230,1490,2940,
90,25370,1320,3080,1030,2770,
80,24970,480,5000,1200,3200,
460,24880,560,9610,1000,2880,
620,25330,650,17860,1140,2580,
350,25330,590,102900,1070,2790,
610,24980,1140,26030,1050,2790,
630,24990,3120,11140,1020,3400,
700,24750,1240,10100,1070,2680,
620,25100,1650,9070,1040,2830,
490,24940,1910,4710,1080,2820,
470,26690,770,6660,910,2830,
590,24930,850,12390,1070,2730,
800,24810,1580,10320,1030,2900,
670,24860,1970,6440,1050,3140,
640,24560,1080,4160,1000,2670,
330,24690,700,4420,990,2660,
380,24820,1110,3950,930,2510,
410,24970,820,3870,970,2810,
150,26430,1060,4040,1050,2840,
200,25790,1060,3700,1030,2980,
180,24660,2530,4940,1120,2610,
670,25350,2450,5970,1060,2980,
410,24720,730,10480,1090,3100,
590,25170,1240,11330,1110,3010,
720,24620,2160,9640,1050,2910,
650,25070,920,9900,1040,2920,
540,24930,400,10390,1030,2740,
260,25010,1560,9630,1030,2840,
1220,25070,680,15620,1030,2770,
540,26150,1020,12110,1090,3120,
630,24780,1140,12660,1070,2780,
680,25720,400,12240,1090,2800,
640,24980,920,7470,1090,3240,
410,24790,1510,4920,1060,3130,
700,24680,2200,7700,980,2490,
500,24790,2390,4220,1010,3040,
590,25010,1100,4550,1040,3070,
860,25130,190,6320,1040,2870,
