CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
1150;23250;520;8320;1020;2570;;;;;;;
300;22980;210;13740;1010;3450;;;;;;;
620;22940;370;9520;1030;2940;;;;;;;
650;23280;790;7180;1080;2740;;;;;;;
480;22860;990;11280;1010;2680;;;;;;;
980;23280;630;12340;1240;2710;;;;;;;
790;23230;460;12170;1010;2680;;;;;;;
240;23250;1020;7720;1030;2660;;;;;;;
500;23780;1820;8660;1010;3120;;;;;;;
840;24150;450;7250;1020;2850;;;;;;;
380;24250;900;11020;1010;2620;;;;;;;
410;28540;550;13980;1190;2400;;;;;;;
380;24940;680;8610;1010;2760;;;;;;;
860;25320;950;5070;1020;2710;;;;;;;
1000;26220;400;5670;1080;2770;;;;;;;
560;25410;390;4040;1030;3470;;;;;;;
610;25040;1180;6190;1030;3160;;;;;;;
770;24850;380;7380;1180;2670;;;;;;;
710;23700;570;4620;1010;2750;;;;;;;
660;24020;730;13920;1010;2870;;;;;;;
400;24260;430;13870;1030;2650;;;;;;;
730;24150;980;11170;1000;3000;;;;;;;
940;23710;20;9950;1050;2850;;;;;;;
790;23610;1110;8380;1070;2720;;;;;;;
730;23910;170;12030;1030;2550;;;;;;;
890;23990;140;12350;1000;2650;;;;;;;
1070;23580;340;10200;1010;2660;;;;;;;
860;23620;100;11160;1060;2820;;;;;;;
570;23940;380;10410;1030;2470;;;;;;;
2920;23560;250;7700;1030;2730;;;;;;;
480;23480;100;5500;1040;2590;;;;;;;
1060;23510;550;9560;1060;2750;;;;;;;
1580;23060;970;8660;1020;2600;;;;;;;
1240;23340;870;11000;1020;2390;;;;;;;
930;23060;930;10310;1030;2730;;;;;;;
790;23250;30;5830;1210;2690;;;;;;;
780;23530;450;11290;1020;2610;;;;;;;
440;25960;580;15110;1020;2580;;;;;;;
770;24050;310;21110;1010;2600;;;;;;;
1650;24260;1160;11790;1070;2670;;;;;;;
190;24120;380;11370;1050;3930;;;;;;;
60;23060;340;17900;1010;2320;;;;;;;
760;23690;500;10500;1010;2410;;;;;;;
780;23100;350;7490;1010;2890;;;;;;;
590;22940;2400;10370;1290;2690;;;;;;;
550;23240;70;23550;1100;2840;;;;;;;
310;23130;820;17470;1400;2420;;;;;;;
850;23080;330;8040;2050;2910;;;;;;;
620;23060;180;7820;1420;2780;;;;;;;
