CouchBase,Memcached,Mongo,Orient,Redis,Riak
880,50,2960,3980,40,29650,
900,20,2710,2740,40,41680,
840,40,1710,4030,70,24500,
890,10,2900,4130,90,28430,
860,30,2280,3830,10,30260,
800,0,1830,2740,40,27590,
820,30,2380,4500,70,22940,
850,10,1970,2620,40,24130,
920,30,2810,3310,70,21790,
920,0,2290,2910,40,27160,
930,40,1390,4850,110,26070,
770,20,3210,5960,30,29080,
860,10,1750,4570,10,26070,
790,0,2910,3040,80,23690,
930,10,3190,3280,130,26330,
850,40,1790,3300,30,28360,
900,10,1360,3130,90,27900,
890,0,3170,2550,80,24510,
960,10,1510,2330,60,24660,
540,50,2750,3060,20,26150,
670,30,1700,3150,110,24790,
620,0,2620,3360,50,26290,
750,0,2080,4590,50,28690,
320,40,2210,2600,20,23640,
400,0,2050,4910,50,26100,
320,0,1430,4680,30,23650,
420,0,960,4860,20,24110,
440,10,2610,4240,20,24740,
480,10,2150,3100,70,26740,
500,10,1650,3530,80,25540,
530,10,1650,3470,10,27730,
510,0,1250,1740,40,24250,
440,30,2130,5500,70,31530,
330,0,1660,9120,100,28470,
600,10,2370,2720,70,30310,
470,80,2250,2820,70,29040,
870,30,2820,3000,340,37610,
560,10,1360,4580,50,27880,
420,0,2350,7390,60,26480,
610,10,3410,2950,20,26280,
420,30,1920,2370,40,28530,
430,10,2060,2260,60,27310,
350,0,2100,4010,20,26560,
420,30,3140,2060,50,28660,
370,20,2970,2710,10,24930,
440,20,2130,2920,60,27340,
560,20,2560,2390,50,26050,
640,10,2910,2120,40,23150,
650,20,1530,2170,60,27700,
350,0,2050,2750,80,28680,
490,0,1300,1660,60,25310,
480,10,1900,3450,30,23220,
400,20,1910,2320,190,26180,
470,10,1500,2570,60,23680,
430,40,1440,1960,30,29640,
540,0,2030,2330,50,24200,
490,10,1920,1610,70,25090,
490,30,3120,2570,40,25730,
490,10,2010,1990,50,30580,
530,0,3070,2110,20,24610,
450,20,2760,2890,90,24930,
370,0,3270,4350,90,24950,
480,10,1480,1620,0,24310,
460,10,1860,2540,30,24530,
340,0,1420,2260,30,24600,
480,10,1530,1620,40,27360,
530,20,1580,2140,160,29800,
630,0,1620,2000,140,24760,
550,0,2070,1480,60,23470,
650,10,1690,2660,60,22120,
510,30,970,1310,120,21510,
600,60,1480,3220,40,27920,
360,0,1410,3130,50,27980,
430,0,1850,2980,20,27110,
450,30,1620,2260,90,28390,
400,70,1650,2070,40,28420,
490,40,920,2360,40,36080,
720,20,1520,2400,120,31850,
630,20,5880,1770,10,34500,
400,30,5150,1790,30,30200,
310,10,7100,2130,20,28490,
640,0,6880,1730,140,37230,
490,0,8690,1700,100,32110,
480,10,8070,1900,60,27630,
430,0,5490,3230,130,35720,
440,0,7430,1790,290,33800,
540,0,6890,1250,290,29050,
440,10,6560,1800,450,27020,
460,0,7610,2050,510,24710,
600,0,7130,1580,340,29530,
550,0,10770,1710,350,26400,
560,10,8460,1280,380,31320,
610,20,6110,1700,770,27750,
620,10,6650,2690,300,24890,
420,10,7170,1580,440,28410,
450,20,7090,1530,30,27780,
640,10,6440,1510,30,31190,
510,0,12040,1550,280,28580,
490,0,10370,1610,380,27720,
430,60,11150,2380,320,29090,
410,30,6220,1370,390,26580,
330,0,5010,1220,20,26950,
370,10,12320,1420,40,24290,
450,10,12980,2100,110,27540,
490,40,15270,1960,40,25800,
400,60,5190,3020,30,28900,
480,10,5490,1710,60,29040,
710,0,4480,1480,0,25890,
420,0,4630,2140,40,26560,
570,0,4000,1160,60,22550,
490,0,4680,2620,0,25160,
560,10,4950,2510,10,25840,
500,10,4870,2890,10,28850,
460,40,4090,1610,20,28580,
560,60,4590,1580,20,25560,
1020,50,4360,2710,50,23960,
580,30,4370,1710,20,26310,
1880,10,3220,1210,20,23220,
380,30,4430,1300,40,27030,
640,30,4270,1400,30,32460,
590,0,3730,1200,10,27260,
510,10,4070,1220,100,24570,
550,0,4360,1860,30,26760,
570,20,3470,1340,0,26560,
450,40,2810,1440,60,27550,
540,10,2460,1210,0,25060,
470,20,3750,1240,30,25910,
440,10,3060,1070,40,26730,
480,20,2440,1220,60,27110,
660,0,2610,1480,30,25240,
450,20,3930,1600,50,27790,
440,0,3620,1660,30,23940,
360,0,2790,1430,20,25710,
520,10,1970,2320,20,24360,
400,20,2890,880,10,26900,
540,10,2370,1220,40,27510,
410,20,3270,1520,20,27640,
560,0,2510,1130,180,24000,
560,30,2640,1530,20,20950,
590,0,3420,2780,10,25050,
370,0,2840,1670,20,24480,
520,30,4120,1440,100,23500,
580,0,3680,1090,10,24360,
580,50,2460,1060,10,24390,
530,0,2080,1320,10,25460,
350,0,2030,1580,10,23990,
470,10,2470,1260,40,24620,
520,20,3150,1530,30,31400,
410,20,3280,1100,40,27810,
420,20,2830,1620,40,22090,
610,10,1680,1580,20,23820,
530,0,3020,1420,0,22670,
490,20,3430,1080,10,27720,
420,30,3620,1810,20,30360,
610,60,2250,1080,60,22750,
660,0,2460,1520,40,24360,
670,30,3380,1140,60,25150,
480,10,1690,1140,50,25490,
480,0,2710,1180,30,23770,
580,0,1940,1080,40,22570,
640,60,2100,1090,10,25190,
450,10,1760,2280,10,25750,
490,20,1790,1140,90,23510,
740,20,1730,870,20,26770,
490,20,1600,1030,40,26720,
540,0,2660,1390,60,27690,
480,0,1110,2520,70,27270,
530,10,2960,1260,20,28370,
350,10,2090,1750,20,27270,
420,10,1230,1450,10,29080,
520,40,1890,1730,30,27530,
430,0,1500,1790,70,28380,
390,10,1980,2090,20,24390,
420,50,2160,2560,80,26360,
540,10,1650,3980,130,27080,
380,10,1860,1700,80,28110,
750,60,1910,1310,30,28800,
590,20,1550,1270,150,29120,
