CouchBase;Memcached;Mongo;Orient;Redis;Riak;;CouchBase;Memcached;Mongo;Orient;Redis;Riak
490;0;2110;1710;60;27470;;;;;;;
440;10;3180;1280;70;27920;;;;;;;
480;10;2610;1330;100;29570;;;;;;;
560;30;2700;1370;50;28000;;;;;;;
460;30;1690;1150;20;29370;;;;;;;
410;10;2130;1100;100;26600;;;;;;;
390;50;1980;2130;160;28940;;;;;;;
610;20;1560;1160;60;26670;;;;;;;
540;20;2040;1140;50;25450;;;;;;;
380;0;2010;1190;40;28720;;;;;;;
600;40;3460;1340;50;30580;;;;;;;
330;40;2510;1350;60;29490;;;;;;;
530;20;2030;1170;30;27140;;;;;;;
340;30;2480;1190;30;30100;;;;;;;
380;10;3490;1820;50;26370;;;;;;;
500;60;2700;1450;120;30070;;;;;;;
370;0;2550;900;180;29110;;;;;;;
330;20;1930;1430;100;34790;;;;;;;
410;20;2170;1480;120;30900;;;;;;;
390;30;3390;1410;240;29250;;;;;;;
330;10;3030;1230;110;30380;;;;;;;
560;20;1640;1360;40;28400;;;;;;;
610;0;2640;1110;190;29430;;;;;;;
440;30;2380;1520;180;26420;;;;;;;
440;90;1100;3170;150;29790;;;;;;;
300;30;2070;1330;160;26860;;;;;;;
390;0;2190;1440;250;27850;;;;;;;
590;40;2240;1310;80;29830;;;;;;;
620;10;1560;1550;30;30060;;;;;;;
500;60;2720;1340;90;29680;;;;;;;
480;30;1980;1900;60;28290;;;;;;;
500;10;1620;1200;30;27160;;;;;;;
600;0;1710;1350;80;26990;;;;;;;
480;30;670;1130;100;27380;;;;;;;
400;0;3120;1330;10;26600;;;;;;;
420;20;5440;1620;50;28090;;;;;;;
460;10;3670;2000;40;27170;;;;;;;
370;0;3150;1430;110;26770;;;;;;;
410;0;2680;1860;80;33520;;;;;;;
500;0;4850;1040;20;26700;;;;;;;
430;10;3160;1730;50;29750;;;;;;;
440;20;3110;1400;40;30200;;;;;;;
520;40;3410;1260;60;33530;;;;;;;
520;30;1970;1460;60;26240;;;;;;;
450;30;1640;1330;50;23480;;;;;;;
530;0;1430;1400;20;25740;;;;;;;
470;0;2660;1450;60;23630;;;;;;;
500;0;1980;1410;100;26260;;;;;;;
410;10;4270;1560;0;27510;;;;;;;
580;40;3310;1170;100;25450;;;;;;;
450;20;2280;1400;80;26930;;;;;;;
560;30;2730;1530;80;28760;;;;;;;
410;10;2800;1210;60;30320;;;;;;;
480;0;1790;1260;70;29130;;;;;;;
440;10;1060;1290;160;28830;;;;;;;
510;50;1770;990;80;28940;;;;;;;
470;20;2700;1240;30;30590;;;;;;;
480;10;2380;1060;90;32700;;;;;;;
480;10;2610;1220;140;28800;;;;;;;
460;30;1420;1010;120;27940;;;;;;;
770;0;2900;1520;60;30250;;;;;;;
390;30;1920;1260;100;28150;;;;;;;
500;50;1030;1170;130;27110;;;;;;;
570;30;2360;1270;40;31360;;;;;;;
530;10;2090;1480;60;25950;;;;;;;
830;30;1760;1890;60;26320;;;;;;;
380;10;3190;1680;60;30440;;;;;;;
770;60;2650;1400;20;26420;;;;;;;
470;40;1470;1130;70;25000;;;;;;;
470;30;2300;1250;40;27590;;;;;;;
530;10;2440;1180;100;30070;;;;;;;
290;40;2480;1390;50;27240;;;;;;;
250;0;1870;1130;50;29570;;;;;;;
920;30;3820;1260;70;27170;;;;;;;
850;0;2740;1440;90;28170;;;;;;;
850;10;2570;1220;80;28010;;;;;;;
390;10;3370;1450;50;25590;;;;;;;
