CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
2200;24630;2060;14300;1440;4520;;;;;;;
1840;24770;1470;12500;1400;4940;;;;;;;
1600;24960;1910;16080;1340;4150;;;;;;;
1510;24890;1720;10650;1330;4070;;;;;;;
1440;24660;1500;9750;1190;4260;;;;;;;
1760;24680;1750;12560;1310;4440;;;;;;;
1860;24950;1440;7800;1300;4260;;;;;;;
2060;24370;1800;7060;1400;4840;;;;;;;
1560;24790;1430;10490;1490;4750;;;;;;;
1430;24450;2930;11670;1300;5330;;;;;;;
1810;24830;2500;8800;1270;4520;;;;;;;
1320;24500;2030;9280;1400;5180;;;;;;;
2620;25170;1490;12310;1470;4540;;;;;;;
1700;24900;1410;10660;1540;4700;;;;;;;
1830;26810;1830;10840;1200;4720;;;;;;;
1970;24880;1720;7910;1240;4730;;;;;;;
1560;24890;1550;8040;1580;4660;;;;;;;
1410;24720;1980;13500;1250;4760;;;;;;;
1560;24950;1490;13230;1150;4750;;;;;;;
1190;24470;6210;13170;1040;4540;;;;;;;
2090;25490;3270;7470;1050;4440;;;;;;;
1620;24440;1700;10040;1080;5250;;;;;;;
2710;25100;3860;10230;1260;5100;;;;;;;
2890;24810;3220;14010;1360;4640;;;;;;;
1910;24860;1470;13620;1330;4550;;;;;;;
1650;24860;1170;8200;1260;5400;;;;;;;
1720;24850;1270;7610;1300;5190;;;;;;;
1700;24820;1700;13810;1400;4650;;;;;;;
1660;25180;1410;14500;1310;4600;;;;;;;
1340;25070;1750;14850;1060;5120;;;;;;;
1810;24670;2460;4530;1350;5380;;;;;;;
1880;24760;2260;11570;1220;4810;;;;;;;
1260;24640;1990;12990;1050;4890;;;;;;;
2370;25000;1820;10190;1130;4940;;;;;;;
1840;24630;1660;7200;1420;4480;;;;;;;
1520;26350;2160;12430;1430;4550;;;;;;;
1960;24730;1500;8070;1370;4870;;;;;;;
3210;25230;2180;10560;1300;4560;;;;;;;
1850;24740;1260;6930;1300;4750;;;;;;;
1940;24880;2620;7180;1340;4550;;;;;;;
2070;24950;1480;9490;1400;4590;;;;;;;
1570;24960;1300;16560;1360;4500;;;;;;;
1840;25090;1000;14410;1390;4680;;;;;;;
1940;25310;2730;17660;1350;4670;;;;;;;
2060;24940;1870;24510;1460;4960;;;;;;;
1930;25170;1180;9500;1230;4520;;;;;;;
2360;24720;1960;14820;1270;4660;;;;;;;
1920;25080;1490;12140;1340;4690;;;;;;;
1700;25100;2110;13530;1580;4620;;;;;;;
1630;24960;1700;14550;2190;5320;;;;;;;
1560;25380;2700;22040;1660;4390;;;;;;;
2040;24950;2960;11830;1570;4870;;;;;;;
1720;24720;1130;26800;1880;4720;;;;;;;
2460;26800;1690;137630;1940;4370;;;;;;;
1950;24740;1050;15020;1410;4340;;;;;;;
1300;24720;2010;10440;1550;4840;;;;;;;
1960;24700;1220;14880;1390;4490;;;;;;;
1990;24800;1440;6560;1440;4250;;;;;;;
2640;24800;1790;9680;1240;4390;;;;;;;
1220;24590;1150;10990;1420;4570;;;;;;;
2420;24830;2480;9650;1860;4920;;;;;;;
1710;25120;1400;11230;2230;4480;;;;;;;
1480;24740;1720;15330;1420;4300;;;;;;;
2040;24740;1590;10530;1400;4420;;;;;;;
1360;24730;2370;9820;1400;5300;;;;;;;
2170;24840;1700;8580;1400;4680;;;;;;;
1490;24960;980;8410;1260;4320;;;;;;;
1120;24780;2110;7840;1060;4570;;;;;;;
1730;24570;1800;11920;1100;4890;;;;;;;
1890;25170;2180;10060;1270;4420;;;;;;;
1750;24900;980;10640;1230;4830;;;;;;;
1850;24800;1720;13200;1320;4650;;;;;;;
2200;24730;1580;9160;1130;4690;;;;;;;
1110;24790;2390;10170;1320;4530;;;;;;;
1670;24780;940;16260;1410;5200;;;;;;;
1910;24670;1000;8140;1220;4880;;;;;;;
1530;24700;1020;9420;1250;4490;;;;;;;
1860;24580;2740;12050;1270;4360;;;;;;;
2490;24730;2600;20600;1300;4590;;;;;;;
1610;24490;1200;12380;1330;4470;;;;;;;
1640;24690;1420;12010;1240;4780;;;;;;;
2420;24640;1870;7570;1270;4360;;;;;;;
1700;26980;2490;13280;1380;4570;;;;;;;
1120;24930;1000;12780;1420;4800;;;;;;;
