CouchBase,Memcached,Mongo,Orient,Redis,Riak
590,2510,4110,5720,240,24900,
560,2560,2330,7780,180,24990,
780,2790,3810,5710,180,22790,
670,2550,4270,7960,190,24470,
590,2560,3050,13490,140,21580,
420,2660,3390,9480,190,24480,
680,2790,3590,5760,180,25620,
620,2550,3960,3350,180,29170,
720,2880,3760,5150,110,22660,
420,2750,3060,6450,150,25980,
450,2620,4880,5970,140,20140,
440,2500,3000,7580,180,29850,
580,2630,3090,5000,130,33860,
670,2710,3490,5260,170,26440,
650,2550,4670,3720,230,24080,
550,2510,3580,3910,210,22100,
580,2530,4080,3740,210,29830,
530,2480,4080,5440,150,32550,
450,2530,1870,5100,170,25330,
550,2540,2770,5810,170,22210,
620,2680,3210,4890,140,25150,
590,2520,4500,4270,170,27880,
570,2480,5120,5530,210,27310,
430,2570,3040,4890,190,21410,
450,2510,3130,6570,250,27930,
550,2690,2090,3960,240,32940,
410,2630,4150,6700,190,24480,
630,2600,2930,3960,170,30710,
570,2710,2020,4530,200,25320,
470,2540,3540,6640,160,36770,
590,2660,3450,4970,210,31280,
570,2650,4110,4280,190,25770,
630,2510,2840,4910,170,22470,
580,2570,3040,4470,160,26220,
640,2610,2150,6220,290,31270,
520,2770,4500,5020,240,32560,
500,2560,2500,6300,290,25180,
440,2580,4010,4590,360,38470,
400,2590,2840,4260,180,30730,
510,2490,4050,5230,370,33730,
480,2580,4140,3650,290,35040,
430,2570,2390,4360,270,27240,
350,3090,3660,7160,300,29950,
570,2920,2540,6650,160,23880,
330,2670,2940,7230,270,30680,
730,2560,3620,6950,190,27360,
360,2470,2640,4650,180,30840,
470,2650,2500,3970,220,30280,
520,2470,1410,9150,210,29270,
450,2750,4090,5340,300,25890,
630,2510,1950,8000,210,26170,
390,2690,1970,4420,180,28570,
620,2480,2900,5230,230,25000,
650,2680,2340,3180,330,22220,
510,2620,3250,6800,160,22830,
500,2480,2010,6800,240,26480,
530,2740,2010,6090,180,23580,
450,2710,2950,5320,180,23020,
600,2510,3020,5180,230,23190,
560,2520,3250,4630,170,26320,
550,2550,2100,6020,180,23100,
630,2530,2140,6680,240,24230,
500,2590,1710,4610,290,21930,
610,2730,2390,5090,180,25360,
510,2610,1800,4190,260,27270,
470,2480,1690,4700,150,23140,
550,2720,1360,3240,180,20430,
470,2510,1700,4660,180,29950,
610,2500,2290,5690,240,25940,
550,2680,2150,5490,370,22020,
510,2530,1720,7020,150,28630,
390,2700,1710,6220,190,20820,
610,2520,1490,4280,250,23200,
650,2910,3840,7840,170,30510,
890,2540,1430,6590,130,24640,
400,2690,2570,4260,130,28150,
540,3140,1130,6470,150,24060,
390,2750,2620,3720,160,23690,
480,2610,1280,3720,200,20610,
600,2540,1390,6070,170,25870,
610,2700,2330,3720,150,32920,
550,2480,1940,4990,220,24960,
500,2510,1420,4930,270,23730,
570,2650,2410,6960,130,23490,
580,2560,2530,5840,180,24680,
670,2660,1070,5810,130,24120,
500,2480,1050,5860,170,21730,
480,2560,1340,4080,170,23400,
520,2540,2620,3890,160,22880,
540,2750,1210,3720,150,22910,
530,2520,780,6420,160,22470,
590,2630,1270,4390,140,29530,
700,2800,1370,4430,140,26380,
390,2590,1710,5420,140,25360,
460,2670,1250,3730,150,22940,
580,2630,1180,4270,120,23690,
640,2700,840,4000,210,25070,
520,2890,570,5160,140,29450,
500,3150,1850,5370,150,22800,
520,3080,5680,7640,140,25560,
550,3060,2630,5860,130,22420,
550,2830,430,5360,160,23170,
650,2610,2700,2890,150,19610,
620,2550,2320,3860,250,26300,
560,2650,1550,5620,190,23240,
450,2770,4930,4270,300,22910,
630,2560,860,5190,400,22630,
390,2800,2040,6000,190,27860,
400,2810,890,7460,160,22040,
